date,time,track_name,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,heartrate
05/12/2021,18:48:00,Ascension (feat. Vince Staples),"Gorillaz, Vince Staples",2bBMODHVTXGwE2aZYfbgCt,0.676,0.905,1,-2.569,1,0.147,0.594,0,0.154,0.519,152.186,62
05/12/2021,18:49:00,Ascension (feat. Vince Staples),"Gorillaz, Vince Staples",2bBMODHVTXGwE2aZYfbgCt,0.676,0.905,1,-2.569,1,0.147,0.594,0,0.154,0.519,152.186,60
05/12/2021,18:50:00,Don't Panic,Coldplay,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,0,-8.409,1,0.0335,0.206,0.00607,0.107,0.453,122.062,75
05/12/2021,18:51:00,Don't Panic,Coldplay,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,0,-8.409,1,0.0335,0.206,0.00607,0.107,0.453,122.062,59
05/12/2021,18:52:00,God Is in the House,Nick Cave & The Bad Seeds,7fYGgIxMkN72otrha570z1,0.536,0.171,0,-13.967,1,0.0496,0.618,0,0.0925,0.205,115.814,60
05/12/2021,18:53:00,God Is in the House,Nick Cave & The Bad Seeds,7fYGgIxMkN72otrha570z1,0.536,0.171,0,-13.967,1,0.0496,0.618,0,0.0925,0.205,115.814,64
05/12/2021,18:54:00,God Is in the House,Nick Cave & The Bad Seeds,7fYGgIxMkN72otrha570z1,0.536,0.171,0,-13.967,1,0.0496,0.618,0,0.0925,0.205,115.814,63
05/12/2021,18:56:00,God Is in the House,Nick Cave & The Bad Seeds,7fYGgIxMkN72otrha570z1,0.536,0.171,0,-13.967,1,0.0496,0.618,0,0.0925,0.205,115.814,62
05/12/2021,18:57:00,God Is in the House,Nick Cave & The Bad Seeds,7fYGgIxMkN72otrha570z1,0.536,0.171,0,-13.967,1,0.0496,0.618,0,0.0925,0.205,115.814,72
05/12/2021,18:58:00,God Is in the House,Nick Cave & The Bad Seeds,7fYGgIxMkN72otrha570z1,0.536,0.171,0,-13.967,1,0.0496,0.618,0,0.0925,0.205,115.814,77
05/12/2021,18:59:00,Ghostwriter,RJD2,37LYyxvuT7pgIE9gKiWJ3a,0.745,0.68,1,-6.194,1,0.0339,0.0108,0.786,0.0958,0.573,93.794,75
05/12/2021,19:00:00,Ghostwriter,RJD2,37LYyxvuT7pgIE9gKiWJ3a,0.745,0.68,1,-6.194,1,0.0339,0.0108,0.786,0.0958,0.573,93.794,73
05/12/2021,19:01:00,Ghostwriter,RJD2,37LYyxvuT7pgIE9gKiWJ3a,0.745,0.68,1,-6.194,1,0.0339,0.0108,0.786,0.0958,0.573,93.794,78
05/12/2021,19:02:00,Ghostwriter,RJD2,37LYyxvuT7pgIE9gKiWJ3a,0.745,0.68,1,-6.194,1,0.0339,0.0108,0.786,0.0958,0.573,93.794,60
05/12/2021,19:03:00,Ghostwriter,RJD2,37LYyxvuT7pgIE9gKiWJ3a,0.745,0.68,1,-6.194,1,0.0339,0.0108,0.786,0.0958,0.573,93.794,59
05/12/2021,19:04:00,I Wish,Tom Misch,5EUPK2x1wJ5bERxjQ47lKv,0.787,0.329,6,-11.869,0,0.0447,0.187,0.00593,0.133,0.404,86.997,59
05/12/2021,19:05:00,I Wish,Tom Misch,5EUPK2x1wJ5bERxjQ47lKv,0.787,0.329,6,-11.869,0,0.0447,0.187,0.00593,0.133,0.404,86.997,59
05/12/2021,19:06:00,I Wish,Tom Misch,5EUPK2x1wJ5bERxjQ47lKv,0.787,0.329,6,-11.869,0,0.0447,0.187,0.00593,0.133,0.404,86.997,58
05/12/2021,19:07:00,I Need - Acoustic,Maverick Sabre,0VowILLZHQJnQ1r6KDB9Hh,0.55,0.359,4,-9.05,0,0.132,0.851,0,0.0689,0.567,179.874,60
05/12/2021,19:08:00,I Need - Acoustic,Maverick Sabre,0VowILLZHQJnQ1r6KDB9Hh,0.55,0.359,4,-9.05,0,0.132,0.851,0,0.0689,0.567,179.874,62
05/12/2021,19:09:00,I Need - Acoustic,Maverick Sabre,0VowILLZHQJnQ1r6KDB9Hh,0.55,0.359,4,-9.05,0,0.132,0.851,0,0.0689,0.567,179.874,59
05/12/2021,19:10:00,I Need - Acoustic,Maverick Sabre,0VowILLZHQJnQ1r6KDB9Hh,0.55,0.359,4,-9.05,0,0.132,0.851,0,0.0689,0.567,179.874,55
05/12/2021,19:11:00,This Old Dog,Mac DeMarco,1KTMZ2DeqT4oqIJ7Co5F6R,0.749,0.401,3,-10.856,1,0.0391,0.219,0.0931,0.206,0.616,138.811,58
05/12/2021,19:12:00,This Old Dog,Mac DeMarco,1KTMZ2DeqT4oqIJ7Co5F6R,0.749,0.401,3,-10.856,1,0.0391,0.219,0.0931,0.206,0.616,138.811,60
05/12/2021,19:13:00,Little Room,The White Stripes,6FmzUWHW313TqFUdBwYcsH,0.455,0.75,1,-3.49,0,0.0447,0.0107,0,0.0635,0.773,173.608,62
05/12/2021,19:15:00,Social Sites,Cosmo Pyke,0puyikpyVwe8TTv2tvMHeq,0.411,0.618,4,-4.964,0,0.0469,0.109,0,0.279,0.211,120.734,62
05/12/2021,19:16:00,Social Sites,Cosmo Pyke,0puyikpyVwe8TTv2tvMHeq,0.411,0.618,4,-4.964,0,0.0469,0.109,0,0.279,0.211,120.734,62
05/12/2021,19:17:00,Social Sites,Cosmo Pyke,0puyikpyVwe8TTv2tvMHeq,0.411,0.618,4,-4.964,0,0.0469,0.109,0,0.279,0.211,120.734,60
05/12/2021,19:18:00,Social Sites,Cosmo Pyke,0puyikpyVwe8TTv2tvMHeq,0.411,0.618,4,-4.964,0,0.0469,0.109,0,0.279,0.211,120.734,60
05/12/2021,19:19:00,On the Level,Mac DeMarco,3cvO1FOmixOrmKXpotwnd6,0.573,0.473,8,-10.839,0,0.0268,0.0944,0.397,0.199,0.515,77.494,59
05/12/2021,19:20:00,On the Level,Mac DeMarco,3cvO1FOmixOrmKXpotwnd6,0.573,0.473,8,-10.839,0,0.0268,0.0944,0.397,0.199,0.515,77.494,60
05/12/2021,19:40:00,Chapel Perilous,Mild High Club,1eNqqp7rbEgZDj3Hj4GSmB,0.705,0.431,1,-10.063,1,0.0431,0.27,0.0812,0.0971,0.176,118.024,69
05/12/2021,19:41:00,Chapel Perilous,Mild High Club,1eNqqp7rbEgZDj3Hj4GSmB,0.705,0.431,1,-10.063,1,0.0431,0.27,0.0812,0.0971,0.176,118.024,69
05/12/2021,19:42:00,Chapel Perilous,Mild High Club,1eNqqp7rbEgZDj3Hj4GSmB,0.705,0.431,1,-10.063,1,0.0431,0.27,0.0812,0.0971,0.176,118.024,67
05/12/2021,19:44:00,Social Sites,Cosmo Pyke,0puyikpyVwe8TTv2tvMHeq,0.411,0.618,4,-4.964,0,0.0469,0.109,0,0.279,0.211,120.734,67
05/12/2021,19:54:00,Chronic Sunshine,Cosmo Pyke,2RGe02P8xxSF9syj0ltPjX,0.431,0.773,2,-5.002,1,0.0636,0.0264,0,0.348,0.504,111.387,69
05/12/2021,19:55:00,Chronic Sunshine,Cosmo Pyke,2RGe02P8xxSF9syj0ltPjX,0.431,0.773,2,-5.002,1,0.0636,0.0264,0,0.348,0.504,111.387,68
05/12/2021,19:56:00,Chronic Sunshine,Cosmo Pyke,2RGe02P8xxSF9syj0ltPjX,0.431,0.773,2,-5.002,1,0.0636,0.0264,0,0.348,0.504,111.387,67
05/12/2021,19:57:00,Chronic Sunshine,Cosmo Pyke,2RGe02P8xxSF9syj0ltPjX,0.431,0.773,2,-5.002,1,0.0636,0.0264,0,0.348,0.504,111.387,69
